Name	Attack	Defense	Stamina
Bulbasaur	118	118	90
Ivysaur	151	151	120
Venusaur	198	198	160
Charmander	116	96	78
Charmeleon	158	129	116
Charizard	223	176	156
Squirtle	94	122	88
Wartortle	126	155	118
Blastoise	171	210	158
Caterpie	55	62	90
Metapod	45	94	100
Butterfree	167	151	120
Weedle	63	55	80
Kakuna	46	86	90
Beedrill	169	150	130
Pidgey	85	76	80
Pidgeotto	117	108	126
Pidgeot	166	157	166
Rattata	103	70	60
Raticate	161	144	110
Spearow	112	61	80
Fearow	182	135	130
Ekans	110	102	70
Arbok	167	158	120
Pikachu	112	101	70
Raichu	193	165	120
Sandshrew	126	145	100
Sandslash	182	202	150
Nidoran♀	86	94	110
Nidorina	117	126	140
Nidoqueen	180	174	180
Nidoran♂	105	76	92
Nidorino	137	112	122
Nidoking	204	157	162
Clefairy	107	116	140
Clefable	178	171	190
Vulpix	96	122	76
Ninetales	169	204	146
Jigglypuff	80	44	230
Wigglytuff	156	93	280
Zubat	83	76	80
Golbat	161	153	150
Oddish	131	116	90
Gloom	153	139	120
Vileplume	202	170	150
Paras	121	99	70
Parasect	165	146	120
Venonat	100	102	120
Venomoth	179	150	140
Diglett	109	88	20
Dugtrio	167	147	70
Meowth	92	81	80
Persian	150	139	130
Psyduck	122	96	100
Golduck	191	163	160
Mankey	148	87	80
Primeape	207	144	130
Growlithe	136	96	110
Arcanine	227	166	180
Poliwag	101	82	80
Poliwhirl	130	130	130
Poliwrath	182	187	180
Abra	195	103	50
Kadabra	232	138	80
Alakazam	271	194	110
Machop	137	88	140
Machoke	177	130	160
Machamp	234	162	180
Bellsprout	139	64	100
Weepinbell	172	95	130
Victreebel	207	138	160
Tentacool	97	182	80
Tentacruel	166	237	160
Geodude	132	163	80
Graveler	164	196	110
Golem	211	229	160
Ponyta	170	132	100
Rapidash	207	167	130
Slowpoke	109	109	180
Slowbro	177	194	190
Magnemite	165	128	50
Magneton	223	182	100
Farfetch'd	124	118	104
Doduo	158	88	70
Dodrio	218	145	120
Seel	85	128	130
Dewgong	139	184	180
Grimer	135	90	160
Muk	190	184	210
Shellder	116	168	60
Cloyster	186	323	100
Gastly	186	70	60
Haunter	223	112	90
Gengar	261	156	120
Onix	85	288	70
Drowzee	89	158	120
Hypno	144	215	170
Krabby	181	156	60
Kingler	240	214	110
Voltorb	109	114	80
Electrode	173	179	120
Exeggcute	107	140	120
Exeggutor	233	158	190
Cubone	90	165	100
Marowak	144	200	120
Hitmonlee	224	211	100
Hitmonchan	193	212	100
Lickitung	108	137	180
Koffing	119	164	80
Weezing	174	221	130
Rhyhorn	140	157	160
Rhydon	222	206	210
Chansey	60	176	500
Tangela	183	205	130
Kangaskhan	181	165	210
Horsea	129	125	60
Seadra	187	182	110
Goldeen	123	115	90
Seaking	175	154	160
Staryu	137	112	60
Starmie	210	184	120
Mr. Mime	192	233	80
Scyther	218	170	140
Jynx	223	182	130
Electabuzz	198	173	130
Magmar	206	169	130
Pinsir	238	197	130
Tauros	198	197	150
Magikarp	29	102	40
Gyarados	237	197	190
Lapras	186	190	260
Ditto	91	91	96
Eevee	104	121	110
Vaporeon	205	177	260
Jolteon	232	201	130
Flareon	246	204	130
Porygon	153	139	130
Omanyte	155	174	70
Omastar	207	227	140
Kabuto	148	162	60
Kabutops	220	203	120
Aerodactyl	221	164	160
Snorlax	190	190	320
Articuno	192	249	180
Zapdos	253	188	180
Moltres	251	184	180
Dratini	119	94	82
Dragonair	163	138	122
Dragonite	263	201	182
Mewtwo	330	200	212
Mew	210	210	200
Chikorita	92	122	90
Bayleef	122	155	120
Meganium	168	202	160
Cyndaquil	116	96	78
Quilava	158	129	116
Typhlosion	223	176	156
Totodile	117	116	100
Croconaw	150	151	130
Feraligatr	205	197	170
Sentret	79	77	70
Furret	148	130	170
Hoothoot	67	101	120
Noctowl	145	179	200
Ledyba	72	142	80
Ledian	107	209	110
Spinarak	105	73	80
Ariados	161	128	140
Crobat	194	178	170
Chinchou	106	106	150
Lanturn	146	146	250
Pichu	77	63	40
Cleffa	75	91	100
Igglybuff	69	34	180
Togepi	67	116	70
Togetic	139	191	110
Natu	134	89	80
Xatu	192	146	130
Mareep	114	82	110
Flaaffy	145	112	140
Ampharos	211	172	180
Bellossom	169	189	150
Marill	37	93	140
Azumarill	112	152	200
Sudowoodo	167	198	140
Politoed	174	192	180
Hoppip	67	101	70
Skiploom	91	127	110
Jumpluff	118	197	150
Aipom	136	112	110
Sunkern	55	55	60
Sunflora	185	148	150
Yanma	154	94	130
Wooper	75	75	110
Quagsire	152	152	190
Espeon	261	194	130
Umbreon	126	250	190
Murkrow	175	87	120
Slowking	177	194	190
Misdreavus	167	167	120
Unown	136	91	96
Wobbuffet	60	106	380
Girafarig	182	133	140
Pineco	108	146	100
Forretress	161	242	150
Dunsparce	131	131	200
Gligar	143	204	130
Steelix	148	333	150
Snubbull	137	89	120
Granbull	212	137	180
Qwilfish	184	148	130
Scizor	236	191	140
Shuckle	17	396	40
Heracross	234	189	160
Sneasel	189	157	110
Teddiursa	142	93	120
Ursaring	236	144	180
Slugma	118	71	80
Magcargo	139	209	100
Swinub	90	74	100
Piloswine	181	147	200
Corsola	118	156	110
Remoraid	127	69	70
Octillery	197	141	150
Delibird	128	90	90
Mantine	148	260	130
Skarmory	148	260	130
Houndour	152	93	90
Houndoom	224	159	150
Kingdra	194	194	150
Phanpy	107	107	180
Donphan	214	214	180
Porygon2	198	183	170
Stantler	192	132	146
Smeargle	40	88	110
Tyrogue	64	64	70
Hitmontop	173	214	100
Smoochum	153	116	90
Elekid	135	110	90
Magby	151	108	90
Miltank	157	211	190
Blissey	129	229	510
Raikou	241	210	180
Entei	235	176	230
Suicune	180	235	200
Larvitar	115	93	100
Pupitar	155	133	140
Tyranitar	251	212	200
Lugia	193	323	212
Ho-Oh	263	301	212
Celebi	210	210	200
